03_28_2020: World: Total cases: 618043, Total deaths: 28823, Death rate: 4.66%
03_28_2020: Usa: Total cases: 104865, Total deaths: 1709, Death rate: 1.63%
03_28_2020: Spain: Total cases: 72248, Total deaths: 5690, Death rate: 7.88%
03_28_2020: Italy: Total cases: 92472, Total deaths: 10023, Death rate: 10.84%
03_28_2020: Germany: Total cases: 56202, Total deaths: 403, Death rate: 0.72%
03_28_2020: France: Total cases: 37575, Total deaths: 2314, Death rate: 6.16%
03_28_2020: Iran: Total cases: 35408, Total deaths: 2517, Death rate: 7.11%
03_28_2020: Uk: Total cases: 17089, Total deaths: 1019, Death rate: 5.96%
03_28_2020: Switzerland: Total cases: 13377, Total deaths: 242, Death rate: 1.81%
03_28_2020: Usa: Total cases: 123750, Total deaths: 2227, Death rate: 1.80%
03_29_2020: Usa: Total cases: 124217, Total deaths: 2185, Death rate: 1.76%
03_29_2020: World: Total cases: 663828, Total deaths: 30822, Death rate: 4.64%
03_29_2020: Usa: Total cases: 124686, Total deaths: 2191, Death rate: 1.76%
03_29_2020: World: Total cases: 679977, Total deaths: 31700, Death rate: 4.66%
03_29_2020: Italy: Total cases: 97689, Total deaths: 10779, Death rate: 11.03%
03_29_2020: Spain: Total cases: 78799, Total deaths: 6606, Death rate: 8.38%
03_29_2020: Iran: Total cases: 38309, Total deaths: 2640, Death rate: 6.89%
03_29_2020: Uk: Total cases: 19522, Total deaths: 1228, Death rate: 6.29%
03_29_2020: France: Total cases: 40174, Total deaths: 2606, Death rate: 6.49%
03_29_2020: Germany: Total cases: 61164, Total deaths: 490, Death rate: 0.80%
03_29_2020: Usa: Total cases: 140990, Total deaths: 2457, Death rate: 1.74%
03_29_2020: Usa: Total cases: 140990, Total deaths: 2457, Death rate: 1.74%
03_29_2020: Italy: Total cases: 97689, Total deaths: 10779, Death rate: 11.03%
03_29_2020: Spain: Total cases: 80110, Total deaths: 6803, Death rate: 8.49%
03_30_2020: World: Total cases: 760337, Total deaths: 36862, Death rate: 4.85%
03_30_2020: Usa: Total cases: 152631, Total deaths: 2817, Death rate: 1.85%
03_30_2020: Italy: Total cases: 101739, Total deaths: 11591, Death rate: 11.39%
03_30_2020: Spain: Total cases: 85195, Total deaths: 7340, Death rate: 8.62%
03_30_2020: Germany: Total cases: 63929, Total deaths: 560, Death rate: 0.88%
03_30_2020: Iran: Total cases: 41495, Total deaths: 2757, Death rate: 6.64%
03_30_2020: France: Total cases: 40495, Total deaths: 2757, Death rate: 6.81%
03_30_2020: Uk: Total cases: 22141, Total deaths: 1408, Death rate: 6.36%

03_31_2020: World: Total cases: 809138, Total deaths: 39559, Death rate: 4.89%
03_31_2020: Usa: Total cases: 165392, Total deaths: 3182, Death rate: 1.92%
03_31_2020: Italy: Total cases: 101739, Total deaths: 11591, Death rate: 11.39%
03_31_2020: Spain: Total cases: 94417, Total deaths: 8269, Death rate: 8.76%
03_31_2020: Germany: Total cases: 68180, Total deaths: 682, Death rate: 1.00%
03_31_2020: Iran: Total cases: 44605, Total deaths: 2898, Death rate: 6.50%
03_31_2020: France: Total cases: 44550, Total deaths: 3024, Death rate: 6.79%
03_31_2020: Uk: Total cases: 25150, Total deaths: 1789, Death rate: 7.11%

03_31_2020: World: Total cases: 846156, Total deaths: 41494, Death rate: 4.90%
03_31_2020: Usa: Total cases: 181099, Total deaths: 3606, Death rate: 1.99%
03_31_2020: Usa: Total cases: 188267, Total deaths: 3882, Death rate: 2.06%
03_31_2020: Italy: Total cases: 105792, Total deaths: 12428, Death rate: 11.75%
03_31_2020: Spain: Total cases: 95923, Total deaths: 8464, Death rate: 8.82%
03_31_2020: Germany: Total cases: 71808, Total deaths: 775, Death rate: 1.08%
03_31_2020: Framce: Total cases: 52128, Total deaths: 3523, Death rate: 6.76%
03_31_2020: Iran: Total cases: 44605, Total deaths: 2898, Death rate: 6.50%
03_31_2020: Uk: Total cases: 25150, Total deaths: 1789, Death rate: 7.11%
03_31_2020: World: Total cases: 858892, Total deaths: 42158, Death rate: 4.91%
03_31_2020: Usa: Total cases: 188578, Total deaths: 3890, Death rate: 2.06%
03_31_2020: Italy: Total cases: 105792, Total deaths: 12428, Death rate: 11.75%
03_31_2020: Spain: Total cases: 95923, Total deaths: 8464, Death rate: 8.82%
03_31_2020: Germany: Total cases: 71808, Total deaths: 775, Death rate: 1.08%
03_31_2020: France: Total cases: 52128, Total deaths: 3523, Death rate: 6.76%
03_31_2020: Iran: Total cases: 44605, Total deaths: 2898, Death rate: 6.50%
03_31_2020: Uk: Total cases: 25150, Total deaths: 1789, Death rate: 7.11%
04_01_2020: World: Total cases: 886346, Total deaths: 44241, Death rate: 4.99%
04_01_2020: Usa: Total cases: 190256, Total deaths: 4113, Death rate: 2.16%
04_01_2020: Italy: Total cases: 105792, Total deaths: 12428, Death rate: 11.75%
04_01_2020: Spain: Total cases: 102136, Total deaths: 9053, Death rate: 8.86%
04_01_2020: Germany: Total cases: 74508, Total deaths: 821, Death rate: 1.10%
04_01_2020: France: Total cases: 52128, Total deaths: 3523, Death rate: 6.76%
04_01_2020: Iran: Total cases: 47593, Total deaths: 3036, Death rate: 6.38%
04_01_2020: Uk: Total cases: 29474, Total deaths: 2352, Death rate: 7.98%
04_01_2020: World: Total cases: 935582, Total deaths: 47232, Death rate: 5.05%
04_01_2020: Usa: Total cases: 215081, Total deaths: 5109, Death rate: 2.38%
04_01_2020: Italy: Total cases: 110574, Total deaths: 13155, Death rate: 11.90%
04_01_2020: Spain: Total cases: 104118, Total deaths: 9387, Death rate: 9.02%
04_01_2020: Germany: Total cases: 77981, Total deaths: 931, Death rate: 1.19%
04_01_2020: France: Total cases: 56989, Total deaths: 4032, Death rate: 7.08%
04_01_2020: Iran: Total cases: 47593, Total deaths: 3036, Death rate: 6.38%
04_01_2020: Uk: Total cases: 29474, Total deaths: 2352, Death rate: 7.98%
04_02_2020: World: Total cases: 936170, Total deaths: 47249, Death rate: 5.05%
04_02_2020: Usa: Total cases: 215300, Total deaths: 5110, Death rate: 2.37%
04_02_2020: Usa: Total cases: 215300, Total deaths: 5110, Death rate: 2.37%
04_02_2020: World: Total cases: 966939, Total deaths: 49295, Death rate: 5.10%
04_02_2020: Usa: Total cases: 217661, Total deaths: 5153, Death rate: 2.37%
04_02_2020: Italy: Total cases: 110574, Total deaths: 13155, Death rate: 11.90%
04_02_2020: Spain: Total cases: 110238, Total deaths: 10003, Death rate: 9.07%
04_02_2020: Germany: Total cases: 81728, Total deaths: 997, Death rate: 1.22%
04_02_2020: France: Total cases: 56989, Total deaths: 4032, Death rate: 7.08%
04_02_2020: Iran: Total cases: 50468, Total deaths: 3160, Death rate: 6.26%
04_02_2020: Uk: Total cases: 33718, Total deaths: 2921, Death rate: 8.66%


04_02_2020: World: Total cases: 1015466, Total deaths: 53190, Death rate: 5.24%
04_02_2020: Usa: Total cases: 245066, Total deaths: 6075, Death rate: 2.48%
04_02_2020: Italy: Total cases: 115242, Total deaths: 13915, Death rate: 12.07%
04_02_2020: Spain: Total cases: 112065, Total deaths: 10348, Death rate: 9.23%
04_02_2020: Germany: Total cases: 84794, Total deaths: 1107, Death rate: 1.31%
04_02_2020: France: Total cases: 59105, Total deaths: 5387, Death rate: 9.11%
04_02_2020: Iran: Total cases: 50468, Total deaths: 3160, Death rate: 6.26%
04_02_2020: Uk: Total cases: 33718, Total deaths: 2921, Death rate: 8.66%


04_03_2020: World: Total cases: 1068522, Total deaths: 56794, Death rate: 5.32%
04_03_2020: Us: Total cases: 259832, Total deaths: 6605, Death rate: 2.54%
04_03_2020: World: Total cases: 1068544, Total deaths: 56794, Death rate: 5.32%
04_03_2020: World: Total cases: 1072860, Total deaths: 56904, Death rate: 5.30%
04_03_2020: Us: Total cases: 264159, Total deaths: 6714, Death rate: 2.54%
04_03_2020: World: Total cases: 1074053, Total deaths: 56975, Death rate: 5.30%
04_03_2020: Us: Total cases: 265306, Total deaths: 6774, Death rate: 2.55%
04_03_2020: Italy: Total cases: 119827, Total deaths: 14681, Death rate: 12.25%
04_03_2020: World: Total cases: 1074197, Total deaths: 56982, Death rate: 5.30%
04_03_2020: Us: Total cases: 265417, Total deaths: 6780, Death rate: 2.55%
04_03_2020: Italy: Total cases: 119827, Total deaths: 14681, Death rate: 12.25%
04_03_2020: Us: Total cases: 265506, Total deaths: 6786, Death rate: 2.56%
04_03_2020: Italy: Total cases: 119827, Total deaths: 14681, Death rate: 12.25%
04_03_2020: World: Total cases: 1074253, Total deaths: 56987, Death rate: 5.30%
04_03_2020: Us: Total cases: 265506, Total deaths: 6786, Death rate: 2.56%
04_03_2020: Italy: Total cases: 119827, Total deaths: 14681, Death rate: 12.25%
04_03_2020: World: Total cases: 1074253, Total deaths: 56987, Death rate: 5.30%
04_03_2020: Us: Total cases: 265506, Total deaths: 6786, Death rate: 2.56%
04_03_2020: Italy: Total cases: 119827, Total deaths: 14681, Death rate: 12.25%
04_03_2020: World: Total cases: 1074253, Total deaths: 56987, Death rate: 5.30%
04_03_2020: Us: Total cases: 265506, Total deaths: 6786, Death rate: 2.56%
04_03_2020: Italy: Total cases: 119827, Total deaths: 14681, Death rate: 12.25%
04_03_2020: France: Total cases: 59105, Total deaths: 5387, Death rate: 9.11%
04_03_2020: Iran: Total cases: 53183, Total deaths: 3294, Death rate: 6.19%
04_03_2020: Uk: Total cases: 38168, Total deaths: 3605, Death rate: 9.45%
04_03_2020: Germany: Total cases: 89838, Total deaths: 1230, Death rate: 1.37%
04_03_2020: World: Total cases: 1074254, Total deaths: 56987, Death rate: 5.30%
04_03_2020: Us: Total cases: 265506, Total deaths: 6786, Death rate: 2.56%
04_03_2020: Italy: Total cases: 119827, Total deaths: 14681, Death rate: 12.25%
04_03_2020: France: Total cases: 59105, Total deaths: 5387, Death rate: 9.11%
04_03_2020: Iran: Total cases: 53183, Total deaths: 3294, Death rate: 6.19%
04_03_2020: Uk: Total cases: 38168, Total deaths: 3605, Death rate: 9.45%
04_03_2020: Germany: Total cases: 89838, Total deaths: 1230, Death rate: 1.37%
04_03_2020: Spain: Total cases: 117710, Total deaths: 10935, Death rate: 9.29%
04_03_2020: World: Total cases: 1074280, Total deaths: 56987, Death rate: 5.30%
04_03_2020: Us: Total cases: 265506, Total deaths: 6786, Death rate: 2.56%
04_03_2020: Italy: Total cases: 119827, Total deaths: 14681, Death rate: 12.25%
04_03_2020: France: Total cases: 59105, Total deaths: 5387, Death rate: 9.11%
04_03_2020: Iran: Total cases: 53183, Total deaths: 3294, Death rate: 6.19%
04_03_2020: Uk: Total cases: 38168, Total deaths: 3605, Death rate: 9.45%
04_03_2020: Germany: Total cases: 89838, Total deaths: 1230, Death rate: 1.37%
04_03_2020: Spain: Total cases: 117710, Total deaths: 10935, Death rate: 9.29%
04_03_2020: World: Total cases: 1083211, Total deaths: 58149, Death rate: 5.37%
04_03_2020: Us: Total cases: 266279, Total deaths: 6803, Death rate: 2.55%
04_03_2020: Italy: Total cases: 119827, Total deaths: 14681, Death rate: 12.25%
04_03_2020: France: Total cases: 64338, Total deaths: 6507, Death rate: 10.11%
04_03_2020: Iran: Total cases: 53183, Total deaths: 3294, Death rate: 6.19%
04_03_2020: Uk: Total cases: 38168, Total deaths: 3605, Death rate: 9.45%
04_03_2020: Germany: Total cases: 90964, Total deaths: 1234, Death rate: 1.36%
04_03_2020: Spain: Total cases: 117710, Total deaths: 10935, Death rate: 9.29%
04_03_2020: World: Total cases: 1093025, Total deaths: 58728, Death rate: 5.37%
04_03_2020: Us: Total cases: 272925, Total deaths: 7004, Death rate: 2.57%
04_03_2020: Italy: Total cases: 119827, Total deaths: 14681, Death rate: 12.25%
04_03_2020: France: Total cases: 64338, Total deaths: 6507, Death rate: 10.11%
04_03_2020: Iran: Total cases: 53183, Total deaths: 3294, Death rate: 6.19%
04_03_2020: Uk: Total cases: 38168, Total deaths: 3605, Death rate: 9.45%
04_03_2020: Germany: Total cases: 91159, Total deaths: 1275, Death rate: 1.40%
04_03_2020: Spain: Total cases: 119199, Total deaths: 11198, Death rate: 9.39%
04_03_2020: World: Total cases: 1096682, Total deaths: 59128, Death rate: 5.39%
04_03_2020: Us: Total cases: 276037, Total deaths: 7385, Death rate: 2.68%
04_03_2020: Italy: Total cases: 119827, Total deaths: 14681, Death rate: 12.25%
04_03_2020: France: Total cases: 64338, Total deaths: 6507, Death rate: 10.11%
04_03_2020: Iran: Total cases: 53183, Total deaths: 3294, Death rate: 6.19%
04_03_2020: Uk: Total cases: 38168, Total deaths: 3605, Death rate: 9.45%
04_03_2020: Germany: Total cases: 91159, Total deaths: 1275, Death rate: 1.40%
04_03_2020: Spain: Total cases: 119199, Total deaths: 11198, Death rate: 9.39%
